order_id,customer_id,product_id,order_date,sales,quantity_sold,shipping_cost
1,1524,15,17/11/2024,784.53,7,22.47
2,1290,41,06/08/2024,659.1,1,41.19
3,1784,74,12/04/2024,846.08,2,12.26
4,1313,91,12/09/2024,919.16,1,30.46
5,1504,91,14/03/2024,393.37,1,31.48
6,731,84,25/06/2024,688.03,9,42.2
7,1262,41,04/06/2024,612.29,2,21.16
8,369,20,07/03/2024,364.33,4,18.19
9,1214,92,13/03/2024,136.67,10,40.09
10,250,64,13/11/2024,954.26,5,13.78
11,1327,90,11/07/2024,191.76,1,7.86
12,115,45,20/07/2024,598.93,8,5.6
13,546,10,18/04/2024,191.41,7,35.44
14,300,80,25/07/2024,354.33,7,45.84
15,1804,71,10/02/2024,507.23,4,7.82
16,980,9,07/01/2024,83.42,10,45.93
17,295,53,03/09/2024,29.3,9,14
18,936,55,21/04/2024,144.79,1,16.4
19,397,33,08/10/2024,197.36,4,14.6
20,1059,57,20/05/2024,676.09,5,10.1
21,1359,44,10/06/2024,984.31,7,38.49
22,702,33,05/04/2024,924.8,1,17.52
23,1641,30,25/10/2024,129.4,7,39.43
24,1727,18,26/03/2024,178.93,6,20.7
25,1489,93,08/11/2024,163.01,5,13.59
26,787,16,21/10/2024,746.37,7,19.48
27,1093,98,08/04/2024,570.9,10,48.72
28,527,88,09/12/2024,34.66,10,37.82
29,1589,96,28/06/2024,16.71,7,33.15
30,161,81,08/09/2024,620.51,10,35.86
31,231,54,14/05/2024,339.12,10,39.97
32,1343,86,29/02/2024,701.06,6,46.12
33,1986,96,03/12/2024,283.71,7,35.2
34,133,58,21/06/2024,227.35,6,28.2
35,952,54,15/08/2024,424.16,8,45.55
36,1191,97,09/04/2024,730.88,3,32.44
37,1793,3,03/02/2024,204.61,8,48.19
38,694,77,13/12/2024,779.66,3,20.77
39,414,60,01/03/2024,480.2,5,41.76
40,592,93,15/07/2024,489.07,1,32.38
41,282,25,21/08/2024,120.86,8,7.17
42,1584,86,25/11/2024,927.28,2,14.19
43,1526,39,06/04/2024,849.19,5,18.9
44,1712,51,24/04/2024,218.09,2,23.03
45,1599,69,31/03/2024,782.91,5,12.58
46,1218,46,24/05/2024,769.06,2,44.37
47,512,75,18/07/2024,22.71,5,12.22
48,1531,62,28/03/2024,25.94,8,30.82
49,1398,24,01/12/2024,437.26,3,14.43
50,1587,12,30/04/2024,796.4,8,5.04
51,590,9,20/02/2024,465.67,4,33.95
52,625,46,19/08/2024,892.76,3,34.78
53,1965,79,25/01/2024,501.68,3,23.47
54,1506,70,28/12/2023,837.2,3,45.01
55,803,3,01/01/2024,169.01,4,10.93
56,829,52,22/06/2024,488.69,1,15.73
57,372,99,09/11/2024,439.3,1,15.95
58,537,9,03/05/2024,307.55,1,29.38
59,1798,66,16/06/2024,640.4,1,32.53
60,1044,11,17/04/2024,574.78,1,11.23
61,1706,99,23/12/2023,412.78,9,18.1
62,1127,63,19/04/2024,584.9,7,38.7
63,37,62,09/02/2024,313.83,4,41.75
64,938,69,29/04/2024,598.52,7,19.34
65,1530,31,23/04/2024,981.85,4,49.53
66,1151,31,03/07/2024,357.95,8,19.02
67,1182,72,04/06/2024,514.06,8,8.5
68,1094,69,29/02/2024,783.24,8,20.36
69,555,29,15/03/2024,662.98,3,43.76
70,579,69,10/05/2024,553.05,9,39.7
71,237,80,28/01/2024,223.24,5,38.29
72,1265,6,31/05/2024,852.62,7,28.23
73,307,19,29/04/2024,986.76,4,12.91
74,914,26,27/04/2024,552.65,10,25.8
75,90,48,04/03/2024,897.15,1,46.63
76,1946,26,21/01/2024,495.3,9,44.65
77,978,87,23/07/2024,595.97,3,44.75
78,1498,21,22/03/2024,786.2,3,19.04
79,747,72,25/03/2024,768.07,8,38.93
80,268,1,19/07/2024,529.01,8,47.93
81,161,14,06/12/2024,332.11,1,44.58
82,1481,9,13/09/2024,268.61,1,23.15
83,1803,44,04/12/2024,272.38,2,47.9
84,1247,55,19/03/2024,449.67,3,43.52
85,1989,44,30/05/2024,969.91,9,21.56
86,1259,96,20/02/2024,29.84,2,40
87,1731,64,23/07/2024,758.4,6,48.79
88,329,68,29/10/2024,482.1,2,37.7
89,1106,89,03/09/2024,307.16,5,16.04
90,395,36,22/04/2024,289.93,9,15.61
91,1328,9,23/11/2024,47.96,8,5.63
92,1469,86,17/11/2024,198.37,1,10.75
93,1000,70,12/06/2024,926.05,10,32.72
94,61,62,01/11/2024,828.17,1,8.14
95,1736,80,19/10/2024,21.3,7,21.16
96,513,79,25/11/2024,324.64,7,22.48
97,462,21,25/02/2024,605.26,6,43.09
98,1388,54,27/11/2024,671.4,6,22.24
99,1156,77,16/12/2024,545.91,6,15.02
100,871,98,12/07/2024,29.73,4,49.65
101,105,14,14/06/2024,288.15,6,12.73
102,395,78,10/02/2024,470.2,9,49.52
103,728,32,01/11/2024,984.92,7,10.75
104,1788,23,26/10/2024,825.75,6,32.89
105,481,75,07/04/2024,143.4,5,21.31
106,1489,57,11/11/2024,590.38,2,31.68
107,1541,38,12/01/2024,551.16,9,12.19
108,1612,75,24/08/2024,159.85,10,41.52
109,1225,83,20/12/2023,27.47,6,22.37
110,1864,93,04/01/2024,466.39,3,48.04
111,417,74,10/10/2024,423.93,3,43.21
112,103,62,13/05/2024,177.37,2,35.65
113,1169,64,04/07/2024,685.29,8,13.22
114,1881,95,15/09/2024,981.39,3,46.7
115,211,41,26/05/2024,387.5,1,9.22
116,538,25,09/10/2024,306.2,9,20.25
117,1877,81,01/03/2024,789.23,3,30.86
118,1296,32,14/09/2024,448.25,10,38.72
119,144,92,17/03/2024,146.76,6,22.34
120,1522,81,30/12/2023,960.92,1,36.35
121,1421,73,21/01/2024,695.26,10,38.8
122,1387,61,17/07/2024,681.32,6,49.93
123,521,91,10/11/2024,528.4,7,17.75
124,1990,50,04/03/2024,442.8,1,35.64
125,946,50,25/11/2024,825.67,1,49
126,1565,93,03/02/2024,483.68,10,12.33
127,1486,3,07/12/2024,316.35,8,30.41
128,356,81,11/07/2024,110.58,6,30
129,877,69,14/09/2024,980.1,5,32.51
130,1931,43,05/03/2024,883.12,1,38.86
131,1501,19,14/04/2024,901.41,4,18.71
132,856,97,27/10/2024,31.79,9,38.94
133,1740,65,19/08/2024,381.19,4,38.37
134,501,63,18/04/2024,632.63,7,33.71
135,1943,28,23/04/2024,705.04,5,37.79
136,500,75,14/05/2024,351.1,4,33.9
137,673,59,16/03/2024,886.27,2,20.22
138,1756,31,22/09/2024,612.81,8,38.5
139,254,14,19/12/2024,93.05,6,5.14
140,309,7,02/02/2024,879.87,8,47.57
141,1201,97,22/01/2024,284.29,6,20.27
142,1003,32,27/04/2024,273.76,3,15.95
143,733,98,18/11/2024,673.32,1,36.04
144,936,91,26/05/2024,454.68,8,8.87
145,1675,3,27/03/2024,30.14,10,40.83
146,953,73,08/03/2024,372.1,4,35
147,686,16,26/05/2024,525.65,7,33.65
148,16,99,30/06/2024,285.66,8,33.15
149,561,73,17/08/2024,331.66,7,46.19
150,884,71,11/07/2024,92.81,3,27.01
151,166,76,02/09/2024,144.79,9,41.41
152,862,91,04/10/2024,963.8,7,17.02
153,91,58,23/10/2024,926.12,2,47.15
154,1791,67,20/07/2024,787.75,6,18.52
155,1569,49,28/03/2024,851.22,3,13.89
156,25,9,24/05/2024,306.73,3,25.38
157,1746,48,24/02/2024,768.24,8,32.35
158,1734,97,28/07/2024,864.01,2,41.64
159,1683,14,15/10/2024,556.14,4,18.45
160,491,11,06/05/2024,316.9,9,31.61
161,1217,21,18/08/2024,49.24,9,15.76
162,474,62,13/08/2024,407.34,1,43.94
163,898,48,28/10/2024,745.56,5,6.2
164,1817,39,09/10/2024,366.22,2,23.58
165,300,53,11/12/2024,602.16,1,24.42
166,1230,82,14/02/2024,886.66,4,37.32
167,1960,10,01/01/2024,270.3,1,29.79
168,479,80,27/10/2024,77.81,10,36.56
169,1361,26,26/11/2024,946.63,9,34.57
170,942,29,02/05/2024,29.34,3,13.16
171,970,87,23/07/2024,154.82,5,35.89
172,1871,18,19/12/2024,297.52,10,26.85
173,560,56,18/05/2024,463.96,9,5.38
174,1001,95,19/01/2024,475.85,7,44.98
175,666,36,21/03/2024,478.34,6,42.83
176,313,93,28/10/2024,389.72,9,7.42
177,1633,2,04/08/2024,805.88,3,42.58
178,1433,7,12/05/2024,322.44,1,33.84
179,687,38,01/02/2024,688.23,7,16.15
180,1551,61,07/03/2024,433.35,6,13.67
181,1587,44,08/03/2024,786.77,7,34.63
182,1058,26,28/12/2023,727.31,9,36.79
183,653,55,08/05/2024,968.98,6,46.2
184,523,33,24/08/2024,497.86,4,17.31
185,957,83,16/04/2024,731.13,8,38.21
186,480,75,14/01/2024,413.55,8,27.96
187,1861,86,03/10/2024,143.54,7,48.18
188,393,65,07/08/2024,451.48,9,48.4
189,153,16,18/06/2024,946.66,4,39.36
190,1121,73,13/07/2024,14.26,10,27.86
191,1352,61,30/09/2024,673.9,8,23.82
